latitude,longitude,carat,cut,color,clarity,depth,table,price,x_length,y_width,z_depth,cut_encoded,color_encoded,clarity_encoded
61.3213889,-149.5677778,0.73,Very Good,D,SI1,,57.0,2841,5.66,5.71,3.63,4,0,2
39.2191667,-121.06,0.73,Very Good,E,SI1,,61.0,2844,,,3.43,4,1,2
39.6283333,-84.1594444,0.7,Very Good,E,VS1,,59.0,2844,5.65,5.68,3.51,4,1,4
29.7630556,-95.3630556,0.34,Good,E,SI1,,55.0,556,,,2.83,1,1,2
30.2669444,-97.7427778,0.34,Ideal,E,SI1,,54.0,556,4.47,4.5,2.79,2,1,2
32.5422222,-83.0705556,0.33,Premium,J,VS1,,61.0,557,,,2.72,3,6,4
39.395,-86.5625,0.33,Premium,I,SI1,,59.0,557,4.54,4.5,2.73,3,5,2
28.555,-82.3880556,0.71,Very Good,E,VS2,,59.0,2858,5.68,5.59,3.58,4,1,5
33.7488889,-84.3880556,0.71,Premium,D,VS2,,62.0,2858,5.74,5.72,3.46,3,0,5
29.4238889,-98.4933333,0.71,Very Good,F,VS2,,61.0,2860,5.68,5.73,3.5,4,2,5
45.3575,-122.6055556,0.62,Fair,F,IF,,61.0,2861,,5.56,3.33,0,2,1
39.2902778,-76.6125,0.79,Premium,F,SI1,,54.0,2862,,5.91,3.7,3,2,2
43.0333333,-112.4375,0.84,Premium,F,SI2,,59.0,2863,,,3.76,3,2,3
37.775,-122.4183333,0.71,Ideal,D,SI1,,57.0,2863,5.75,5.7,3.53,2,0,2
35.4913889,-92.0311111,0.71,Very Good,H,VVS1,,57.0,2867,5.67,5.69,3.57,4,4,6
39.9241667,-83.8088889,0.64,Premium,E,VVS2,,58.0,2870,,,3.44,3,1,7
45.416667,-75.7,0.8,Ideal,G,SI1,,57.0,2870,5.94,5.9,3.7,2,3,2
17.712475,-64.881535,0.7,Premium,G,VVS2,,58.0,2874,5.67,5.63,3.49,3,3,7
43.12,-85.56,0.79,Premium,E,VS2,,53.0,2876,6.04,5.98,3.64,3,1,5
40.623333,-74.601111,0.7,Premium,F,VS1,,60.0,2879,,,3.45,3,2,4
46.216667,-63.483333,1.02,Ideal,J,SI2,,54.0,2879,6.53,6.5,3.93,2,6,3
41.9202778,-79.6405556,0.72,Fair,F,VS1,,69.0,2879,5.93,5.77,3.33,0,2,4
43.0125,-83.6875,1.01,Premium,I,SI1,,60.0,2885,6.36,6.27,3.96,3,5,2
33.9791667,-118.0319444,0.79,Ideal,I,VS1,,59.0,2888,5.93,5.96,3.67,2,5,4
29.7352778,-94.9772222,0.77,Premium,F,VS2,,56.0,2889,5.94,5.9,3.66,3,2,5
33.4483333,-112.0733333,0.71,Good,D,VS2,,61.0,2891,5.7,5.73,3.56,1,0,5
41.9994444,-88.145,0.74,Very Good,G,VS1,,58.0,2896,5.85,5.89,3.51,4,3,4
44.6497222,-93.2425,0.7,Very Good,F,SI1,,58.0,2900,,5.72,3.54,4,2,2
41.2913889,-87.4205556,0.71,Fair,E,VS2,,59.0,2902,,,3.62,0,1,5
33.854335,-112.125137,0.72,Ideal,D,SI1,,55.0,2903,5.78,5.75,3.57,2,0,2
32.655,-79.9405556,0.79,Ideal,G,SI1,,60.0,2907,,6.02,3.62,2,3,2
25.03428,-77.39628,0.71,Very Good,D,VS1,,57.0,2910,,,3.54,4,0,4
51.851509,4.548581,0.73,Good,E,VS2,,56.0,2912,,,3.64,1,1,5
41.835,-87.8227778,1.0,Fair,I,SI1,,56.0,2912,,,4.13,0,5,2
41.5733333,-87.7844444,0.72,Ideal,I,VS2,,55.0,2918,5.75,5.79,3.56,2,5,5
39.143441,-77.20137,0.72,Very Good,G,VS1,,57.0,2919,,5.83,3.52,4,3,4
43.6136111,-116.2025,0.71,Very Good,E,VS2,,58.0,2922,5.6,5.64,3.58,4,1,5
35.493727,-118.85968,0.7,Very Good,F,VS2,,54.0,2928,5.72,5.76,3.52,4,2,5
37.8591667,-122.4841667,0.83,Very Good,F,SI2,,56.0,2939,5.99,6.02,3.72,4,2,3
41.6638889,-83.5552778,0.72,Ideal,E,SI2,,57.0,2939,5.71,5.74,3.57,2,1,3
41.8127778,-74.2547222,0.7,Ideal,F,VS2,,56.0,2942,,,3.52,2,2,5
42.765189,-76.872096,0.71,Very Good,E,VS1,,57.0,2946,,,3.58,4,1,4
53.293182,-3.72764,0.77,Ideal,D,SI1,,57.0,2949,,,3.67,2,0,2
26.1219444,-80.1436111,0.7,Ideal,E,VS2,,58.0,2952,5.7,5.73,3.54,2,1,5
38.52,-89.9838889,0.7,Ideal,E,VS2,,57.0,2952,,5.68,3.54,2,1,5
41.2844444,-84.3558333,0.91,Very Good,J,SI1,,59.0,2956,6.14,6.19,3.87,4,6,2
41.7,-71.6833333,0.56,Very Good,D,VVS1,,58.0,2959,5.36,5.42,3.24,4,0,6
40.1672222,-105.1013889,0.72,Ideal,G,VS2,,56.0,2960,,,3.55,2,3,5
34.9958333,-79.2263889,0.76,Ideal,G,VS1,,57.0,2972,,,3.57,2,3,4
41.5325,-85.2722222,0.72,Ideal,E,SI1,,56.0,2976,5.82,5.85,3.56,2,1,2
28.0777778,-82.7638889,0.76,Premium,D,VS2,,58.0,2977,5.9,5.85,3.58,3,0,5
40.5852778,-105.0838889,0.7,Good,D,SI1,,61.0,2980,5.63,5.69,3.47,1,0,2
56.15,-3.75,0.91,Ideal,I,SI2,,57.0,2981,6.24,6.23,3.84,2,5,3
37.4136111,-79.1425,0.71,Ideal,E,VS2,,57.0,2982,5.86,5.83,3.48,2,1,5
34.8697222,-111.7602778,0.74,Ideal,E,VS2,,54.0,2984,,,3.63,2,1,5
39.7286111,-121.8363889,0.84,Ideal,G,SI2,,56.0,2986,6.02,6.05,3.74,2,3,3
43.3344444,-75.7483333,0.57,Good,E,VVS1,,65.0,2990,5.34,5.43,3.18,1,1,6
41.29,-73.9208333,0.81,Very Good,G,VS2,,58.0,2994,5.88,5.84,3.7,4,3,5
26.1416667,-81.795,0.74,Ideal,I,VS2,,55.0,2997,,,3.6,2,5,5
40.6861111,-75.4972222,0.77,Ideal,E,SI1,,56.0,3000,5.87,5.91,3.68,2,1,2
60.5372222,-150.7647222,0.8,Premium,G,VS2,,59.0,3002,6.02,5.97,3.63,3,3,5
44.0077778,-76.0447222,0.73,Fair,F,VS1,,66.0,3002,5.92,5.88,3.46,0,2,4
35.3733333,-119.0177778,0.71,Ideal,G,SI1,,55.0,3007,5.73,5.79,3.53,2,3,2
45.3733333,-84.9552778,0.76,Ideal,D,SI1,,57.0,3007,5.88,5.91,3.61,2,0,2
43.2708333,-89.7219444,0.61,Ideal,G,VVS1,,56.0,3008,5.46,5.48,3.35,2,3,6
38.3644444,-98.7644444,0.73,Very Good,G,VS1,,55.0,3011,5.87,5.89,3.57,4,3,4
47.6588889,-117.425,0.72,Ideal,E,SI1,,57.0,3012,,5.8,3.53,2,1,2
41.1016667,-80.7647222,0.7,Ideal,G,VS1,,56.0,3017,,5.74,3.5,2,3,4
34.0194444,-118.4902778,1.02,Premium,G,SI2,,58.0,3027,6.46,6.41,3.97,3,3,3
47.6733333,-117.2383333,0.7,Very Good,D,VS2,,60.0,3033,5.61,5.56,3.53,4,0,5
33.4483333,-112.0733333,0.91,Premium,H,SI1,,57.0,3033,6.19,6.1,3.87,3,4,2
40.1672222,-105.1013889,0.7,Ideal,G,VS1,,57.0,3034,,,3.51,2,3,4
28.5380556,-81.3794444,0.32,Premium,I,VVS2,,59.0,561,,,2.68,3,5,7
47.6063889,-122.3308333,0.32,Premium,H,VS1,,58.0,561,4.34,4.39,2.72,3,4,4
38.5502778,-82.7780556,0.77,Very Good,F,SI1,,60.0,3044,5.95,5.97,3.55,4,2,2
49.136353351,-122.821343315,0.7,Ideal,F,VS2,,55.0,3064,,,3.53,2,2,5
29.9116667,-95.0619444,0.8,Ideal,F,SI2,,56.0,3066,,,3.73,2,2,3
42.2141667,-83.15,1.0,Very Good,E,I1,,58.0,3080,,6.38,3.96,4,1,0
41.1305556,-85.1288889,0.9,Very Good,E,SI2,,62.0,3084,6.02,6.0,3.81,4,1,3
44.9430556,-123.0338889,0.9,Fair,E,SI2,,55.0,3084,6.12,6.03,3.92,0,1,3
34.0952778,-118.1261111,0.7,Good,D,VS2,,58.0,3087,5.58,5.62,3.58,1,0,5
37.9780556,-122.03,1.2,Premium,G,I1,,58.0,3091,6.82,6.77,4.1,3,3,0
37.6819444,-121.7669444,0.72,Ideal,D,VS2,,57.0,3099,5.76,5.73,3.55,2,0,5
41.4994444,-81.6955556,1.52,Good,E,I1,,58.0,3105,7.53,7.42,4.28,1,1,0
26.9338889,-80.0944444,0.7,Premium,G,VVS1,,56.0,3105,5.75,5.68,3.5,3,3,6
37.0058333,-121.5672222,0.7,Ideal,E,VS1,,58.0,3107,,5.69,3.52,2,1,4
32.6125,-90.0366667,0.32,Good,E,SI1,,56.0,561,,,2.76,1,1,2
59.72,-154.8972222,0.32,Very Good,E,VS2,,58.0,561,4.4,4.42,2.67,4,1,5
33.9533333,-117.3952778,0.81,Ideal,E,SI1,,57.0,3109,5.92,5.97,3.71,2,1,2
32.7666667,-96.5988889,1.01,Good,H,I1,,58.0,3110,6.33,6.39,4.02,1,4,0
-19.055201,29.603549,0.93,Ideal,G,SI2,,54.0,3114,6.35,6.32,3.87,2,3,3
34.5644444,-92.5866667,1.02,Fair,J,SI2,,59.0,3119,6.34,6.24,4.08,0,6,3
40.7933333,-77.8602778,0.9,Premium,I,SI1,,59.0,3121,6.19,6.15,3.83,3,5,2
42.2711111,-89.0938889,0.86,Ideal,I,VS2,,57.0,3121,6.1,6.07,3.78,2,5,5
40.5152778,-107.5458333,0.71,Very Good,E,SI1,,56.0,3122,,,3.49,4,1,2
31.7586111,-106.4863889,0.71,Ideal,G,VS1,,56.1,3123,5.72,5.74,3.54,2,3,4
35.110703,-106.609991,0.77,Very Good,G,VS2,,59.0,3124,5.81,5.84,3.66,4,3,5
43.8855556,-70.3322222,0.74,Ideal,G,SI1,,55.0,3130,5.87,5.93,3.57,2,3,2
29.6908333,-95.2088889,0.94,Good,I,SI2,,60.0,3134,6.14,6.21,3.94,1,5,3
32.0853,34.781768,0.7,Premium,F,VVS2,,59.0,3136,5.66,5.62,3.53,3,2,7
39.1619444,-84.4569444,0.8,Premium,G,VS2,,59.0,3136,6.09,6.0,3.6,3,3,5
35.18,-120.7308333,0.75,Ideal,E,VS2,,57.0,3136,5.93,5.9,3.56,2,1,5
26.7052778,-82.1591667,0.79,Very Good,E,SI1,,56.3,3138,5.85,5.88,3.71,4,1,2
43.8569444,-70.1036111,0.9,Good,E,SI2,,62.0,3139,,,3.81,1,1,3
41.0988889,-81.2427778,1.02,Very Good,E,I1,,63.0,3141,,,3.93,4,1,0
-34.424,150.893448,1.03,Good,J,SI2,,62.0,3149,,,4.07,1,6,3
14.058324,108.277199,0.77,Very Good,H,VS1,,57.0,3152,5.81,5.86,3.63,4,4,4
33.980289,-118.451745,0.71,Ideal,D,VS2,,57.0,3153,,5.73,3.54,2,0,5
52.416667,-1.55,0.64,Ideal,E,VVS2,,53.0,3157,5.51,5.54,3.43,2,1,7
38.8113889,-89.9530556,0.9,Very Good,H,SI2,,55.0,3162,,,3.86,4,4,3
44.5647222,-123.2608333,0.72,Ideal,H,VS1,,55.0,3167,5.78,5.81,3.58,2,4,4
38.5816667,-121.4933333,0.79,Ideal,E,SI1,,56.0,3171,5.99,6.05,3.63,2,1,2
40.9275,-73.9977778,1.01,Fair,G,SI2,,63.0,3173,6.08,6.0,4.14,0,3,3
42.5902778,-72.3102778,0.32,Very Good,I,VVS2,,57.0,561,,4.37,2.74,4,5,7
27.273049,-80.358226,0.32,Premium,G,VS2,,59.0,561,,,2.69,3,3,5
32.3078,-64.7505,1.5,Good,G,I1,,62.0,3179,7.56,7.39,4.29,1,3,0
41.7469444,-88.0502778,0.96,Premium,J,SI1,,59.0,3187,,,3.94,3,6,2
39.2666667,-74.6452778,1.0,Good,H,SI2,,64.0,3192,6.43,6.29,3.94,1,4,3
42.2011111,-85.58,1.0,Fair,H,SI2,,57.0,3192,,,4.07,0,4,3
53.533333,-113.916667,0.73,Ideal,E,VS2,,59.0,3198,5.74,5.77,3.58,2,1,5
36.9786111,-76.4283333,0.71,Very Good,D,VS2,,55.0,3203,5.85,5.88,3.5,4,0,5
40.0063889,-75.7036111,0.9,Fair,D,SI2,,60.0,3205,5.98,5.93,3.91,0,0,3
39.0016667,-76.6877778,0.72,Premium,D,VS2,,57.0,3205,5.82,5.79,3.52,3,0,5
33.6469444,-117.6883333,1.01,Ideal,J,SI1,,54.0,3207,,,4.0,2,6,2
47.9791667,-122.2008333,0.82,Premium,E,SI1,,61.0,3211,5.98,5.95,3.65,3,1,2
28.8105556,-81.8780556,0.71,Ideal,D,VS2,,57.0,3212,5.7,5.75,3.59,2,0,5
49.7,-123.15,1.1,Premium,J,SI2,,58.0,3216,,6.66,4.03,3,6,3
38.9780556,-122.8383333,0.72,Very Good,F,VS1,,57.0,3219,5.68,5.75,3.62,4,2,4
36.175,-115.1363889,1.0,Good,J,SI2,,58.0,3234,6.28,6.32,3.95,1,6,3
41.3080556,-72.9286111,0.77,Premium,E,VS2,,59.0,3234,,5.92,3.6,3,1,5
41.4644444,-81.5088889,0.7,Very Good,D,VS1,,55.0,3239,5.7,5.74,3.52,4,0,4
41.365824,-110.305725,0.26,Ideal,E,VVS2,,55.0,564,4.07,4.09,2.55,2,1,7
46.216667,-63.483333,0.26,Very Good,E,VVS2,,61.0,564,4.12,4.13,2.51,4,1,7
37.5841667,-122.365,0.9,Premium,I,VS2,,61.0,3246,,6.02,3.81,3,5,5
29.4238889,-98.4933333,0.7,Ideal,E,VS1,,55.0,3248,,,3.57,2,1,4
35.7563889,-83.9705556,0.81,Good,G,VS2,,58.0,3250,,5.94,3.72,1,3,5
50.35,-113.766667,0.9,Good,G,SI1,,58.0,3250,,6.01,3.87,1,3,2
-1.292066,36.821946,1.11,Premium,H,I1,,59.0,3263,,6.61,4.05,3,4,0
44.95,-65.066667,1.0,Fair,I,VS2,,58.0,3265,6.25,6.2,4.09,0,5,5
43.3380556,-89.3802778,0.7,Ideal,E,VS2,,55.0,3268,5.66,5.68,3.55,2,1,5
48.4111111,-114.3366667,1.1,Premium,I,SI2,,62.0,3271,,,3.99,3,5,3
47.6063889,-122.3308333,0.92,Good,D,SI2,,63.0,3277,,6.36,3.69,1,0,3
54.011022,-1.47102,0.91,Very Good,G,SI2,,57.0,3282,6.12,6.08,3.86,4,3,3
42.0883333,-87.9805556,0.52,Ideal,D,VVS2,,55.0,3284,5.19,5.22,3.2,2,0,7
43.3772222,-73.6136111,0.74,Premium,E,VS2,,58.0,3285,5.72,5.77,3.6,3,1,5
48.3683333,-124.6236111,0.9,Premium,I,VS2,,62.0,3292,6.13,6.04,3.81,3,5,5
45.5230556,-122.9886111,0.86,Very Good,G,SI1,,55.0,3293,6.04,6.08,3.81,4,3,2
39.8494444,-75.3561111,0.91,Very Good,J,VS2,,55.0,3299,6.17,6.19,3.87,4,6,5
55.833333,-4.25,0.71,Ideal,G,VS2,,56.0,3299,,5.72,3.52,2,3,5
45.3002778,-122.9719444,0.9,Very Good,G,SI2,,58.0,3303,6.08,6.13,3.79,4,3,3
41.1383333,-81.8638889,0.7,Ideal,E,VS1,,58.0,3309,,,3.54,2,1,4
26.1336111,-80.1133333,0.3,Very Good,G,VS1,,62.0,565,,,2.59,4,3,4
-31.955858,141.465136,0.7,Good,F,VVS1,,56.0,3310,,5.7,3.59,1,2,6
43.4577778,-88.8372222,0.8,Premium,D,SI1,,59.0,3312,5.89,5.85,3.68,3,0,2
28.5380556,-81.3794444,0.96,Good,J,VS2,,58.0,3312,6.27,6.21,3.99,1,6,5
41.9444444,-71.2861111,0.83,Very Good,F,SI1,,58.0,3322,5.97,6.01,3.71,4,2,2
39.0997222,-94.5783333,0.72,Ideal,G,VVS1,,55.0,3326,,5.77,3.57,2,3,6
41.3113889,-105.5905556,0.73,Ideal,G,VS1,,58.0,3342,5.81,5.87,3.55,2,3,4
27.4463889,-80.3258333,0.72,Ideal,G,VS2,,55.0,3344,5.72,5.79,3.55,2,3,5
33.9166667,-117.8991667,0.7,Ideal,F,VVS1,,55.0,3348,,5.66,3.53,2,2,6
-37.813938,144.963425,0.9,Good,G,SI2,,61.0,3350,6.28,6.33,3.69,1,3,3
47.1041667,-122.4333333,0.76,Ideal,D,VS1,,54.0,3353,5.86,5.89,3.59,2,0,4
25.7738889,-80.1938889,0.86,Premium,F,SI1,,58.0,3372,6.01,6.06,3.78,3,2,2
29.7944444,-98.7316667,0.72,Very Good,E,VVS2,,60.0,3374,5.87,5.83,3.47,4,1,7
36.2944444,-76.2513889,0.91,Premium,I,VS2,,61.0,3376,6.18,6.16,3.85,3,5,5
39.9625,-76.7280556,0.92,Good,I,SI1,,58.0,3382,,,3.9,1,5,2
42.0597222,-93.88,0.27,Very Good,E,SI1,,57.0,407,4.2,4.23,2.58,4,1,2
-40.851875,174.914101,0.32,Ideal,G,SI2,,56.0,407,,,2.73,2,3,3
41.7797222,-71.4377778,0.39,Ideal,J,SI1,,56.0,568,4.71,4.73,2.88,2,6,2
40.7141667,-74.0063889,0.91,Very Good,G,SI2,,58.0,3387,6.13,6.2,3.82,4,3,3
31.4636111,-100.4366667,0.91,Very Good,G,SI2,,59.0,3388,,6.23,3.83,4,3,3
52.133333,-0.45,0.7,Premium,E,VVS2,,59.0,3389,,,3.5,3,1,7
34.09,-117.8894444,0.74,Premium,E,VS1,,58.0,3401,5.84,5.81,3.56,3,1,4
32.3344444,-96.1511111,0.78,Very Good,F,VS1,,57.0,3401,,6.0,3.62,4,2,4
33.8755556,-84.7622222,0.9,Premium,G,SI1,,60.0,3407,6.22,6.15,3.75,3,3,2
34.6888889,-84.0222222,1.01,Good,I,SI2,,58.0,3411,,,4.03,1,5,3
33.4352778,-112.3575,0.73,Ideal,D,VS2,,53.0,3412,5.76,5.79,3.62,2,0,5
37.2494444,-83.1933333,0.76,Very Good,E,VS1,,58.0,3415,5.84,5.89,3.64,4,1,4
36.3319444,-94.1183333,0.74,Good,E,VS1,,55.0,3416,,5.78,3.66,1,1,4
46.0086111,-122.8433333,0.78,Very Good,F,VS2,,58.0,3429,5.86,5.9,3.66,4,2,5
35.7719444,-78.6388889,0.76,Ideal,E,VS2,,56.0,3431,5.83,5.87,3.63,2,1,5
38.6244444,-76.9394444,0.9,Fair,F,SI1,,56.0,3437,6.08,6.05,3.95,0,2,2
28.5380556,-81.3794444,0.73,Ideal,D,VS2,,56.0,3440,5.74,5.78,3.57,2,0,5
41.3405556,-87.6213889,1.22,Very Good,J,SI2,,58.0,3443,6.8,6.75,4.3,4,6,3
48.0519444,-122.1758333,0.9,Good,F,SI2,,55.0,3453,,6.12,3.92,1,2,3
33.9325,-114.005,0.36,Good,H,VS2,,54.0,568,4.55,4.59,2.9,1,4,5
34.1283333,-117.2077778,0.36,Ideal,H,VS2,,55.0,568,,4.58,2.84,2,4,5
35.7325,-78.8505556,0.9,Premium,F,SI2,,58.0,3457,6.23,6.15,3.81,3,2,3
33.4483333,-112.0733333,0.72,Premium,D,VVS2,,57.0,3459,,,3.53,3,0,7
34.1119444,-118.1980556,0.71,Very Good,E,VS1,,59.0,3464,5.68,5.76,3.58,4,1,4
3.139003,101.686855,0.77,Ideal,H,VS1,,56.0,3468,,,3.64,2,4,4
41.3113889,-105.5905556,0.88,Very Good,H,VS2,,57.0,3472,6.08,6.15,3.87,4,4,5
33.4486111,-84.455,1.0,Good,H,SI2,,58.0,3472,6.28,6.15,3.96,1,4,3
32.0508333,-84.7991667,0.9,Very Good,I,VS2,,57.0,3473,6.12,6.09,3.85,4,5,5
40.1672222,-105.1013889,0.7,Ideal,F,VVS2,,57.0,3478,5.73,5.75,3.5,2,2,7
42.575085,-83.488235,0.72,Ideal,G,VS1,,56.0,3478,,5.78,3.56,2,3,4
33.8169444,-118.0363889,0.9,Very Good,G,SI2,,63.0,3478,6.33,6.25,3.79,4,3,3
41.463992,-72.155619,0.72,Ideal,F,VS1,,56.0,3489,,,3.55,2,2,4
39.515,-84.3983333,0.8,Premium,E,VS2,,56.0,3494,5.91,5.84,3.7,3,1,5
33.5225,-117.7066667,0.78,Premium,E,VS2,,60.0,3494,5.86,5.79,3.66,3,1,5
49.883333,-97.166667,0.56,Ideal,D,VVS1,,56.0,3496,5.32,5.28,3.28,2,0,6
39.0066667,-76.7794444,1.01,Premium,J,SI2,,58.0,3499,6.4,6.44,3.96,3,6,3
37.102841,-85.30635,0.9,Good,D,SI1,,64.0,3505,6.09,6.0,3.74,1,0,2
33.4147222,-111.9086111,0.9,Very Good,F,SI2,,57.0,3519,,6.24,3.82,4,2,3
44.383333,-79.7,0.7,Ideal,H,VVS1,,56.0,3524,,,3.49,2,4,6
30.2655556,-94.1994444,0.36,Ideal,G,SI1,,55.0,571,,,2.81,2,3,2
39.5297222,-119.8127778,1.0,Good,J,SI2,,61.0,3536,6.54,6.58,3.79,1,6,3
32.2094444,-99.7963889,0.9,Fair,H,VS2,,58.0,3538,6.07,6.03,3.92,0,4,5
48.4,-89.233333,1.13,Ideal,F,I1,,55.0,3542,,6.68,4.14,2,2,0
35.0844444,-106.6505556,0.71,Premium,G,IF,,58.0,3545,,5.77,3.56,3,3,1
25.7738889,-80.1938889,1.04,Ideal,I,SI2,,56.0,3553,6.51,6.45,4.02,2,5,3
43.0730556,-89.4011111,0.9,Very Good,F,SI2,,58.0,3556,,,3.83,4,2,3
40.6297222,-91.315,0.73,Premium,D,VS1,,58.0,3557,5.9,5.86,3.53,3,0,4
51.35,0.6,0.83,Ideal,F,SI1,,55.0,3560,,6.03,3.74,2,2,2
33.3416667,-111.9833333,1.0,Ideal,F,SI2,,55.0,3562,6.45,6.41,3.92,2,2,3
40.781246,-73.927731,1.01,Very Good,I,SI1,,58.0,3563,6.38,6.33,4.01,4,5,2
40.63,-79.9697222,0.6,Ideal,D,VVS1,,56.0,3570,5.41,5.43,3.34,2,0,6
41.4277778,-85.7525,1.2,Ideal,I,I1,,56.0,3570,,6.82,4.23,2,5,0
42.0038889,-87.9702778,0.9,Very Good,G,SI2,,60.0,3581,6.19,6.23,3.72,4,3,3
45.5236111,-122.675,1.01,Fair,I,VS2,,58.0,3597,6.14,6.0,4.19,0,5,5
39.9111111,-85.1616667,1.01,Premium,D,SI2,,60.0,3604,6.58,6.53,3.8,3,0,3
20.659699,-103.349609,0.9,Very Good,I,VS2,,64.0,3605,,6.13,3.81,4,5,5
33.4352778,-112.3575,0.31,Very Good,D,SI1,,57.0,571,4.27,4.32,2.7,4,0,2
44.9591667,-89.63,0.73,Premium,D,VS1,,58.0,3620,5.86,5.9,3.53,3,0,4
41.447569,-71.524667,0.91,Premium,I,VS1,,62.0,3620,6.3,6.24,3.73,3,5,4
42.5005556,-90.6644444,0.82,Very Good,F,VS2,,58.0,3621,6.1,6.2,3.61,4,2,5
41.1305556,-85.1288889,0.8,Ideal,E,SI1,,54.0,3622,,,3.71,2,1,2
44.2911111,-105.5016667,0.83,Ideal,E,VS2,,57.0,3625,6.04,6.03,3.73,2,1,5
38.910841,-94.382172,1.0,Ideal,I,SI2,,55.0,3629,6.53,6.46,3.82,2,5,3
48.5038889,-122.2361111,0.74,Ideal,G,VS1,,55.0,3635,5.84,5.91,3.58,2,3,4
34.1808333,-118.3080556,0.85,Ideal,F,VS2,,57.0,3641,6.13,6.01,3.79,2,2,5
35.1225,-85.3438889,0.82,Ideal,G,VS1,,56.0,3652,6.01,6.05,3.71,2,3,4
39.7391667,-104.9841667,0.77,Ideal,F,VS1,,58.0,3655,5.91,5.95,3.61,2,2,4
42.5294444,-83.7802778,0.96,Fair,H,VS2,,56.0,3658,6.11,5.98,4.16,0,4,5
37.6625,-121.8736111,0.91,Premium,I,VS1,,57.0,3669,6.24,6.19,3.85,3,5,4
33.0738889,-106.0180556,1.04,Ideal,H,SI2,,57.0,3669,,6.43,4.02,2,4,3
49.9,-119.483333,1.01,Fair,G,SI1,,56.0,3671,,6.2,4.12,0,3,2
30.406587,-87.683597,1.0,Good,J,SI1,,60.0,3679,6.26,6.19,3.98,1,6,2
36.9536111,-79.3591667,0.33,Ideal,I,SI1,,57.0,572,4.49,4.46,2.75,2,5,2
45.4872222,-122.8025,0.72,Ideal,E,VS1,,54.0,3690,5.74,5.76,3.57,2,1,4
30.2669444,-97.7427778,1.03,Ideal,G,SI2,,56.0,3692,6.56,6.53,3.95,2,3,3
31.8911111,-85.1455556,0.9,Very Good,F,SI1,,54.0,3699,,6.13,3.9,4,2,2
29.7630556,-95.3630556,0.9,Premium,F,SI2,,59.0,3704,6.31,6.24,3.77,3,2,3
46.471353,-123.55041,0.71,Ideal,F,VS1,,57.0,3710,5.76,5.78,3.51,2,2,4
34.6391667,-120.4569444,1.02,Ideal,H,SI2,,56.0,3713,,6.34,3.95,2,4,3
